         52669681 function calls (51841661 primitive calls) in 3601.814 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000 3601.820 1800.910 interactiveshell.py:3541(run_code)
      4/2    0.000    0.000 3601.820 1800.910 {built-in method builtins.exec}
        1    0.232    0.232 3601.820 3601.820 sensor_manager.py:51(run)
     1418 2837.039    2.001 2837.039    2.001 {built-in method time.sleep}
       95    0.011    0.000  700.026    7.369 sensor_adaptive_strategy.py:87(handle_violation)
  566/187    0.010    0.000  689.734    3.688 resource_profiler.py:143(wrapper)
  566/187    0.074    0.000  689.731    3.688 resource_profiler.py:43(profile)
      444    0.092    0.000  470.015    1.059 predictor.py:177(update_prediction_horizon)
      444    0.120    0.000  452.209    1.018 data_storage.py:145(get_previous_measurements)
      444    0.946    0.002  447.296    1.007 data_storage.py:164(<listcomp>)
    53280   20.021    0.000  446.350    0.008 data_storage.py:36(find_nearest_index)
       32    0.022    0.001  428.728   13.398 sensor_adaptive_strategy.py:161(_find_better_predictor)
      352    0.061    0.000  398.683    1.133 sensor_adaptive_strategy.py:208(_get_predictor_score)
116971/63691    1.440    0.000  231.421    0.004 common.py:57(new_method)
    59285    3.324    0.000  223.301    0.004 base.py:1316(_arith_method)
    56832    0.699    0.000  223.122    0.004 base.py:6996(_arith_method)
    53724    0.501    0.000  222.902    0.004 arraylike.py:108(__sub__)
       96    0.004    0.000  206.572    2.152 api.py:103(post)
       96    0.004    0.000  206.568    2.152 api.py:14(request)
       96    0.005    0.000  206.513    2.151 sessions.py:500(request)
       96    0.009    0.000  205.611    2.142 sessions.py:673(send)
       96    0.006    0.000  205.464    2.140 adapters.py:613(send)
       96    0.007    0.000  205.268    2.138 connectionpool.py:594(urlopen)
       96    0.007    0.000  204.988    2.135 connectionpool.py:379(_make_request)
       90    0.012    0.000  196.798    2.187 sensor_adaptive_strategy.py:40(_synchronize_with_base_station)
       91    0.007    0.000  196.344    2.158 base_station_gateway.py:187(synchronize)
    60173    0.366    0.000  195.956    0.003 array_ops.py:185(arithmetic_op)
       96    0.010    0.000  195.295    2.034 connection.py:322(request)
      192    0.003    0.000  195.216    1.017 client.py:978(send)
       96    0.001    0.000  195.187    2.033 client.py:1278(endheaders)
       96    0.002    0.000  195.186    2.033 client.py:1039(_send_output)
       96    0.001    0.000  195.160    2.033 connection.py:235(connect)
       96    0.003    0.000  195.159    2.033 connection.py:190(_new_conn)
       96    0.014    0.000  195.155    2.033 connection.py:27(create_connection)
      192  195.001    1.016  195.001    1.016 {method 'connect' of '_socket.socket' objects}
    53724    0.329    0.000  194.519    0.004 {built-in method _operator.sub}
    53280    1.890    0.000  191.228    0.004 datetimelike.py:1487(__sub__)
    53280    2.944    0.000  180.623    0.003 datetimelike.py:1159(_sub_datetimelike_scalar)
    53280  140.316    0.003  164.366    0.003 algorithms.py:1166(checked_add_with_arr)
    53280    1.819    0.000  143.063    0.003 base.py:7136(argmin)
    53280    0.819    0.000  127.399    0.002 base.py:703(argmin)
    53280    0.700    0.000  125.832    0.002 _mixins.py:195(argmin)
    53280   10.405    0.000  124.960    0.002 sorting.py:452(nargminmax)
    53280   69.647    0.001  105.397    0.002 sorting.py:485(_nanargminmax)
    10182    1.078    0.000   61.946    0.006 indexing.py:806(__setitem__)
    55056    1.019    0.000   58.545    0.001 base.py:937(__array_ufunc__)
    57509    1.373    0.000   56.906    0.001 {pandas._libs.ops_dispatch.maybe_dispatch_ufunc_to_dunder_op}
    53455    0.992    0.000   54.588    0.001 extension.py:95(method)
    53280   44.947    0.001   52.819    0.001 timedeltas.py:707(__abs__)
289968/241040   19.937    0.000   47.965    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    10182    0.291    0.000   42.565    0.004 indexing.py:1658(_setitem_with_indexer)
     7772    0.353    0.000   37.317    0.005 indexing.py:2081(_setitem_with_indexer_missing)
     7770    0.309    0.000   32.716    0.004 frame.py:9770(_append)
     1418    0.024    0.000   30.349    0.021 data_storage.py:102(add_measurement)
   163421   25.796    0.000   27.298    0.000 datetimelike.py:882(_isnan)
28244/20474    0.135    0.000   25.271    0.001 _decorators.py:323(wrapper)
     3934    0.013    0.000   23.214    0.006 predictor.py:159(get_prediction_at)
     3934    0.118    0.000   23.201    0.006 predictor.py:34(get_prediction_at)
11572364/11365678   13.967    0.000   23.119    0.000 {built-in method builtins.isinstance}
106665/90233    4.546    0.000   21.961    0.000 base.py:430(__new__)
    72406    2.572    0.000   20.262    0.000 base.py:708(_with_infer)
    53280    0.455    0.000   19.748    0.000 <__array_function__ internals>:177(argmin)
    27190    0.394    0.000   19.359    0.001 datetimes.py:682(get_loc)
